NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type,Completion Date
NCT05631886,Combination of CAR-DC Vaccine and ICIs in Malignant Tumors,https://clinicaltrials.gov/study/NCT05631886,RECRUITING,"Solid Tumor, Adult|Lymphoma|EphA2 Overexpression|TP53 R273H|TP53 R175H|TP53 R248Q|TP53 R249S",BIOLOGICAL: TP53-EphA-2-CAR-DC|DRUG: Abraxane|DRUG: Cyclophosphamide|DRUG: anti-PD-1 antibody|DRUG: Anti-CTLA4 Monoclonal Antibody,Chinese PLA General Hospital,Zhejiang University,INTERVENTIONAL,2026-12-30
NCT05985174,Role of Neutrophil CD64 and Monocyte HLA-DR Markers in the Dignosis of Neonatal Sepsis,https://clinicaltrials.gov/study/NCT05985174,NOT_YET_RECRUITING,Neonatal Sepsis,"DIAGNOSTIC_TEST: CD64 , HLA-DR",Sohag University,,INTERVENTIONAL,2024-08-01
NCT02775292,"Gene-Modified T Cells, Vaccine Therapy, and Nivolumab in Treating Patients With Stage IV or Locally Advanced Solid Tumors Expressing NY-ESO-1",https://clinicaltrials.gov/study/NCT02775292,COMPLETED,Adult Solid Neoplasm|Childhood Solid Neoplasm|Metastatic Neoplasm,BIOLOGICAL: Aldesleukin|DRUG: Cyclophosphamide|DRUG: Fludarabine Phosphate|OTHER: Laboratory Biomarker Analysis|BIOLOGICAL: Nivolumab|BIOLOGICAL: NY-ESO-1 Reactive TCR Retroviral Vector Transduced Autologous PBL|BIOLOGICAL: NY-ESO-1(157-165) Peptide-pulsed Autologous Dendritic Cell Vaccine|PROCEDURE: Positron Emission Tomography,Jonsson Comprehensive Cancer Center,Stand Up To Cancer|Bristol-Myers Squibb|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|National Cancer Institute (NCI),INTERVENTIONAL,2019-04-08
NCT06325748,SENTI-202: Off-the-shelf Logic Gated CAR NK Cell Therapy in Adults With CD33 and/or FLT3 Blood Cancers Including AML/MDS,https://clinicaltrials.gov/study/NCT06325748,RECRUITING,AML/MDS|CD33 Expressing Hematological Malignancies|FLT3 Expressing Hematological Malignancies,BIOLOGICAL: SENTI-202,Senti Biosciences,,INTERVENTIONAL,2040-08
NCT05700565,Treatment of Immune-related Adverse Events Refractory to Standard Therapy and Associated Changes in Immunophenotype,https://clinicaltrials.gov/study/NCT05700565,RECRUITING,Immune-related Adverse Event,OTHER: Extracorporeal photopheresis|OTHER: Other immunosuppressive or immunomodulatory drugs,Lucie Heinzerling,,OBSERVATIONAL,2027-01-01
NCT01431391,Sequencing of Sipuleucel-T and ADT in Men With Non-metastatic Prostate Cancer,https://clinicaltrials.gov/study/NCT01431391,COMPLETED,Prostatic Neoplasm|Prostate Cancer|Prostatic Adenocarcinoma,BIOLOGICAL: sipuleucel-T|DRUG: leuprolide acetate,Dendreon,,INTERVENTIONAL,2014-12
NCT03686683,Open- Label Trial of Sipuleucel-T Administered to Active Surveillance Patients for Newly Diagnosed Prostate Cancer,https://clinicaltrials.gov/study/NCT03686683,COMPLETED,Adenocarcinoma of the Prostate,BIOLOGICAL: sipuleucel-T,Dendreon,PRA Health Sciences,INTERVENTIONAL,2023-03-10
NCT00715104,Sipuleucel-T as Neoadjuvant Treatment in Prostate Cancer,https://clinicaltrials.gov/study/NCT00715104,COMPLETED,Prostate Cancer,BIOLOGICAL: Sipuleucel-T with Booster|BIOLOGICAL: Sipuleucel-T without Booster,Dendreon,"University of California, San Francisco",INTERVENTIONAL,2013-12
NCT00617409,To Immunize Patients With Extensive Stage SCLC Combined With Chemo With or Without All Trans Retinoic Acid,https://clinicaltrials.gov/study/NCT00617409,COMPLETED,Small Cell Lung Cancer,DRUG: Paclitaxel|BIOLOGICAL: Drug: Ad.p53-DC vaccines|DRUG: All -trans Retinoic Acid (ATRA),H. Lee Moffitt Cancer Center and Research Institute,,INTERVENTIONAL,2019-01-31
NCT05631899,CAR-DC Vaccine and ICIs in Local Advanced/Metastatic Solid Tumors,https://clinicaltrials.gov/study/NCT05631899,RECRUITING,"Solid Tumor, Adult|EphA2 Overexpression|KRAS G12V|KRAS G12C|KRAS G12D",BIOLOGICAL: KRAS-EphA-2-CAR-DC|DRUG: Abraxane|DRUG: Cyclophosphamide|DRUG: Anti-PD-1 antibody|DRUG: Anti-CTLA4 Monoclonal Antibody,Chinese PLA General Hospital,Zhejiang University,INTERVENTIONAL,2026-12-30
NCT02129075,A Vaccine (CDX-1401) With or Without a Biologic Drug (CDX-301) for the Treatment of Patients With Stage IIB-IV Melanoma,https://clinicaltrials.gov/study/NCT02129075,COMPLETED,Cutaneous Melanoma|Melanoma|Melanoma of Unknown Primary|Mucosal Melanoma|Ocular Melanoma|Stage IIB Cutaneous Melanoma AJCC v6 and v7|Stage IIC Cutaneous Melanoma AJCC v6 and v7|Stage III Cutaneous Melanoma AJCC v7|Stage IIIA Cutaneous Melanoma AJCC v7|Stage IIIB Cutaneous Melanoma AJCC v7|Stage IIIC Cutaneous Melanoma AJCC v7|Stage IV Cutaneous Melanoma AJCC v6 and v7,BIOLOGICAL: DEC-205/NY-ESO-1 Fusion Protein CDX-1401|DRUG: Poly ICLC|BIOLOGICAL: Recombinant Flt3 Ligand,National Cancer Institute (NCI),,INTERVENTIONAL,2018-05-18
NCT02525042,Genetic Susceptibility to Ankylosing Spondylitis (AS) by Functional Genomics Approach,https://clinicaltrials.gov/study/NCT02525042,COMPLETED,Ankylosing Spondylitis,,Assistance Publique - Hôpitaux de Paris,,OBSERVATIONAL,
NCT04612530,PANFIRE-3 Trial: Assessing Safety and Efficacy of Irreversible Electroporation (IRE) + Nivolumab + CpG for Metastatic Pancreatic Cancer,https://clinicaltrials.gov/study/NCT04612530,RECRUITING,Pancreatic Cancer|Metastatic Pancreatic Cancer,DEVICE: Irreversible Electroporation (IRE)|DRUG: Nivolumab|DRUG: Toll-Like Receptor 9,"Amsterdam UMC, location VUmc",,INTERVENTIONAL,2023-06-01
NCT03600350,pTVG-HP and Nivolumab in Patients With Non-Metastatic PSA-Recurrent Prostate Cancer,https://clinicaltrials.gov/study/NCT03600350,ACTIVE_NOT_RECRUITING,Prostate Cancer,BIOLOGICAL: pTVG-HP|DRUG: Nivolumab|DRUG: GM-CSF,"University of Wisconsin, Madison",Bristol-Myers Squibb|Madison Vaccines Inc. (MVI)|AIQ Solutions,INTERVENTIONAL,2027-12
NCT01487863,Concurrent vs. Sequential Sipuleucel-T & Abiraterone Treatment in Men With Metastatic Castrate Resistant Prostate Cancer,https://clinicaltrials.gov/study/NCT01487863,COMPLETED,Prostate Cancer Metastatic|Hormone Refractory Prostate Cancer|Castration-resistant Prostate Cancer,BIOLOGICAL: sipuleucel-T|DRUG: abiraterone acetate,Dendreon,,INTERVENTIONAL,2016-06
NCT02420873,An Open-label Phase II Study of Lorvotuzumab Mertansine,https://clinicaltrials.gov/study/NCT02420873,COMPLETED,Leukemia,DRUG: Lorvotuzumab Mertansine (IMGN901),M.D. Anderson Cancer Center,"ImmunoGen, Inc.",INTERVENTIONAL,2017-06-06
NCT03404193,Venetoclax and Decitabine in Treating Participants With Relapsed/Refractory Acute Myeloid Leukemia or Relapsed High-Risk Myelodysplastic Syndrome,https://clinicaltrials.gov/study/NCT03404193,ACTIVE_NOT_RECRUITING,Acute Myeloid Leukemia|Acute Myeloid Leukemia Arising From Previous Myelodysplastic Syndrome|Blastic Plasmacytoid Dendritic Cell Neoplasm|Chronic Myelomonocytic Leukemia|Mixed Phenotype Acute Leukemia|Myelodysplastic Syndrome|Recurrent Acute Biphenotypic Leukemia|Recurrent Acute Myeloid Leukemia|Recurrent Blastic Plasmacytoid Dendritic Cell Neoplasm|Recurrent Chronic Myelomonocytic Leukemia|Recurrent Mixed Phenotype Acute Leukemia|Refractory Acute Myeloid Leukemia|Refractory Blastic Plasmacytoid Dendritic Cell Neoplasm|Refractory Chronic Myelomonocytic Leukemia|Refractory Mixed Phenotype Acute Leukemia,DRUG: Decitabine|OTHER: Laboratory Biomarker Analysis|DRUG: Venetoclax,M.D. Anderson Cancer Center,National Cancer Institute (NCI),INTERVENTIONAL,2025-12-31
NCT03017820,"VSV-hIFNbeta-NIS in Treating Patients With Relapsed or Refractory Multiple Myeloma, Acute Myeloid Leukemia or Lymphoma",https://clinicaltrials.gov/study/NCT03017820,RECRUITING,"B-Cell Non-Hodgkin Lymphoma|Histiocytic and Dendritic Cell Neoplasm|Myelodysplastic Syndrome|Previously Treated Myelodysplastic Syndrome|Recurrent Adult Acute Myeloid Leukemia|Recurrent Anaplastic Large Cell Lymphoma|Recurrent Angioimmunoblastic T-Cell Lymphoma|Recurrent Mycosis Fungoides|Recurrent Plasma Cell Myeloma|Recurrent Primary Cutaneous T-Cell Non-Hodgkin Lymphoma|Recurrent T-Cell Non-Hodgkin Lymphoma|Refractory Acute Myeloid Leukemia|Refractory Anaplastic Large Cell Lymphoma|Refractory Angioimmunoblastic T-Cell Lymphoma|Refractory Mycosis Fungoides|Refractory Peripheral T-Cell Lymphoma, Not Otherwise Specified|Refractory Plasma Cell Myeloma|Refractory Primary Cutaneous T-Cell Non-Hodgkin Lymphoma|Refractory T-Cell Non-Hodgkin Lymphoma",PROCEDURE: Biopsy|PROCEDURE: Biospecimen Collection|PROCEDURE: Bone Marrow Biopsy|PROCEDURE: Computed Tomography|DRUG: Cyclophosphamide|PROCEDURE: Positron Emission Tomography|BIOLOGICAL: Recombinant Vesicular Stomatitis Virus-expressing Human Interferon Beta and Sodium-Iodide Symporter|PROCEDURE: Single Photon Emission Computed Tomography|BIOLOGICAL: Cemiplimab,Mayo Clinic,National Cancer Institute (NCI),INTERVENTIONAL,2032-04-01
NCT00804999,Two Phase Clinical Study of the Impact of Contact Lenses and Solutions on Corneal Structure,https://clinicaltrials.gov/study/NCT00804999,COMPLETED,Normal Contact Lens Wear,DRUG: Clear Care|DRUG: ReNu|DRUG: OPTI-FREE,Christine Sindt,Alcon Research,INTERVENTIONAL,2009-03-01
NCT01007149,Effect of Omalizumab in Patients With Severe Persistent Non-atopic Uncontrolled Asthma,https://clinicaltrials.gov/study/NCT01007149,COMPLETED,Asthma,DRUG: omalizumab|DRUG: Placebo,Novartis Pharmaceuticals,,INTERVENTIONAL,2011-02
NCT05086315,"First-in-human Study of SAR443579 Infusion in Male and Female Children and Adult Participants With Relapsed or Refractory Acute Myeloid Leukemia (R/R AML), B-cell Acute Lymphoblastic Leukemia (B-ALL), High Risk-myelodysplasia (HR-MDS), or Blastic Plasmacytoid Dendritic Cell Neoplasm (BPDCN)",https://clinicaltrials.gov/study/NCT05086315,RECRUITING,Acute Lymphocytic Leukaemia|Acute Myeloid Leukaemia Refractory|Myelodysplastic Syndromes|Blastic Plasmacytoid Dendritic Cell Neoplasia,DRUG: SAR443579,Sanofi,,INTERVENTIONAL,2030-10-15
NCT02403778,Ipilimumab and All-Trans Retinoic Acid Combination Treatment of Advanced Melanoma,https://clinicaltrials.gov/study/NCT02403778,COMPLETED,Melanoma,DRUG: VESANOID|DRUG: Ipilimumab,"University of Colorado, Denver",,INTERVENTIONAL,2023-01-18
NCT06431529,A Study of Tumor Neoantigen-specific T Cells in the Treatment of Advanced Solid Tumors,https://clinicaltrials.gov/study/NCT06431529,RECRUITING,"Tumor, Solid",BIOLOGICAL: tumor neoantigen specific T cell,JIANG LONGWEI,Nanjing University,INTERVENTIONAL,2025-12-31
NCT01066390,A Study on the Safety and Immunogenicity of Combined Intradermal and Intravenous Administration of an Autologous mRNA Electroporated Dendritic Cell Vaccine in Patients With Previously Treated Unresectable Stage III or IV Melanoma,https://clinicaltrials.gov/study/NCT01066390,COMPLETED,Melanoma,BIOLOGICAL: TriMix-DC,Bart Neyns,,INTERVENTIONAL,2014-05
NCT00815607,Trial of an Intratumoral Injections of INXN-3001 in Subjects With Stage III or IV Melanoma,https://clinicaltrials.gov/study/NCT00815607,COMPLETED,Melanoma,DRUG: INXN-1001|BIOLOGICAL: INXN-3001,Alaunos Therapeutics,,INTERVENTIONAL,2013-01
NCT06081972,Towards a Food Ingredient Clinically Proven to Benefit Gut Health: Novel RG-I Variants,https://clinicaltrials.gov/study/NCT06081972,RECRUITING,Healthy,DIETARY_SUPPLEMENT: Maltodextrin|DIETARY_SUPPLEMENT: Chicory RG-I|DIETARY_SUPPLEMENT: Carrot RG-I,"Örebro University, Sweden","NutriLeads B.V. (Wageningen, The Netherlands)|ProDigest (Ghent, Belgium)|Ambiotis (Toulouse, France)",INTERVENTIONAL,2024-12-31
NCT02979873,Sirolimus (Rapamune ) for Relapse Prevention in People With Severe Aplastic Anemia Responsive to Immunosuppressive Therapy,https://clinicaltrials.gov/study/NCT02979873,RECRUITING,Severe Aplastic Anemia,DRUG: Sirolimus,"National Heart, Lung, and Blood Institute (NHLBI)",,INTERVENTIONAL,2030-06-30
NCT04523246,Training the Innate Immune System Against SARS-CoV-2 (COVID-19) Using the Shingrix Vaccine in Nursing Home Residents,https://clinicaltrials.gov/study/NCT04523246,COMPLETED,Herpes Zoster|Allergy and Immunology|Corona Virus Infection,"BIOLOGICAL: SHINGRIX (Zoster Vaccine REcombinant, Adjuvanted)|DRUG: Normal Saline",University of Oklahoma,Oklahoma Medical Research Foundation,INTERVENTIONAL,2023-05-19
NCT01981122,A Study of Sipuleucel-T With Administration of Enzalutamide in Men With Metastatic Castrate-Resistant Prostate Cancer,https://clinicaltrials.gov/study/NCT01981122,COMPLETED,Metastatic Prostate Cancer,BIOLOGICAL: sipuleucel-T|DRUG: enzalutamide,Dendreon,,INTERVENTIONAL,2017-06-30
NCT00844506,p53 Synthetic Long Peptides Vaccine With Cyclophosphamide for Ovarian Cancer,https://clinicaltrials.gov/study/NCT00844506,COMPLETED,Ovarian Cancer,DRUG: P53-SLP vaccine|DRUG: Cyclophosphamide,University Medical Center Groningen,ISA Pharmaceuticals B.V.|Dutch Cancer Society,INTERVENTIONAL,2009-07
NCT04915326,IMMUNOlogical Microenvironment in REctal Adenocarcinoma Treatment,https://clinicaltrials.gov/study/NCT04915326,RECRUITING,Rectal Cancer Stage T1-T2|Rectal Cancer Nodal Metastasis,PROCEDURE: rectal resection,University of Padova,Associazione Italiana per la Ricerca sul Cancro|Istituto Oncologico Veneto IRCCS|Azienda ULSS 3 Serenissima|Azienda Ulss 2 Marca Trevigiana,OBSERVATIONAL,2024-12-31
NCT05185258,Residual Disease MEMory in PSOriasis Skin During EnstiLAR® and Narrow-band Ultraviolet B Therapy: The MEMPSOLAR Study,https://clinicaltrials.gov/study/NCT05185258,ACTIVE_NOT_RECRUITING,"Psoriasis Vulgaris|Psoriasis|Skin Diseases|Skin Diseases, Papulosquamous|Skin and Connective Tissue Diseases",DRUG: Enstilar|DRUG: Placebo-vehicle,Aarhus University Hospital,,INTERVENTIONAL,2025-11-15
NCT02143518,Safety and Immunogenicity Study of Na-GST-1 With or Without CpG,https://clinicaltrials.gov/study/NCT02143518,COMPLETED,Hookworm Infection|Hookworm Disease,BIOLOGICAL: Na-GST-1/Alhydrogel®|BIOLOGICAL: CpG 10104,Baylor College of Medicine,George Washington University,INTERVENTIONAL,2016-10
NCT03827967,Trial of PalloV-CC in Colon Cancer,https://clinicaltrials.gov/study/NCT03827967,COMPLETED,Colon Cancer,BIOLOGICAL: PalloV-CC,George E. Peoples,,INTERVENTIONAL,2023-05-20
NCT03970746,"Safety, Immunogenicity and Preliminary Clinical Activity Study of PDC*lung01 Cancer Vaccine in NSCLC",https://clinicaltrials.gov/study/NCT03970746,ACTIVE_NOT_RECRUITING,Non Small Cell Lung Cancer,BIOLOGICAL: PDC*lung01|DRUG: Keytruda Injectable Product|DRUG: Alimta Injectable Product,PDC*line Pharma SAS,,INTERVENTIONAL,2025-12
NCT00434850,Peritransplant Deoxyspergualin in Islet Transplantation in Type 1 Diabetes,https://clinicaltrials.gov/study/NCT00434850,COMPLETED,"Diabetes Mellitus, Type 1",BIOLOGICAL: Allogeneic Pancreatic Islet Cells|DRUG: Deoxyspergualin|BIOLOGICAL: Antithymocyte globulin|BIOLOGICAL: Daclizumab or basiliximab|DRUG: Sirolimus|DRUG: Tacrolimus|BIOLOGICAL: Etanercept,National Institute of Allergy and Infectious Diseases (NIAID),National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),INTERVENTIONAL,2013-11
NCT03386513,Study of IMGN632 in Patients With Untreated BPDCN and Relapsed/Refractory BPDCN,https://clinicaltrials.gov/study/NCT03386513,ACTIVE_NOT_RECRUITING,Blastic Plasmacytoid Dendritic Cell Neoplasm|Myeloproliferative Neoplasm,DRUG: IMGN632,"ImmunoGen, Inc.",,INTERVENTIONAL,2025-12-01
NCT03034304,A Phase I Clinical Study for Evaluating the Safety and Efficacy of MASCT-I in Patients With Advanced Solid Tumors,https://clinicaltrials.gov/study/NCT03034304,RECRUITING,Advanced Solid Tumors,BIOLOGICAL: MASCT-I|DRUG: Ifosfamide|DRUG: PD1 antibody|DRUG: Adriamycin|DRUG: Gemcitabine|DRUG: Cisplatin|DRUG: Carboplatin,HRYZ Biotech Co.,,INTERVENTIONAL,2023-07
NCT04895761,"Neoadjuvant DPX-Survivac Aromatase Inhibition, Radiotherapy or Cyclophosphamide in HR+HER2- Breast Cancer",https://clinicaltrials.gov/study/NCT04895761,ACTIVE_NOT_RECRUITING,Breast Cancer,BIOLOGICAL: DPX-Survivac|DRUG: Letrozole 2.5mg|DRUG: Cyclophosphamide 50mg|RADIATION: XRT 10Gy x2,Providence Health & Services,,INTERVENTIONAL,2026-09-01
NCT06072612,Study of the Bria-IMT Regimen and CPI vs Physicians' Choice in Advanced Metastatic Breast Cancer.,https://clinicaltrials.gov/study/NCT06072612,RECRUITING,Breast Cancer|Metastatic Breast Cancer|Breast Neoplasm|Breast Cancer Metastatic|End Stage Cancer,BIOLOGICAL: SV-BR-1-GM|DRUG: Cyclophosphamide|DRUG: Interferon infiltration of the inoculation site|DRUG: Retifanlimab|DRUG: Treatment of Physician's Choice,BriaCell Therapeutics Corporation,,INTERVENTIONAL,2025-12
NCT06418724,Neoadjuvant PD-1 Inhibitor and EGFR Inhibitor in Locally Advanced Cutaneous Squamous Cell Carcinoma,https://clinicaltrials.gov/study/NCT06418724,NOT_YET_RECRUITING,Locally Advanced Cutaneous Squamous Cell Carcinoma,DRUG: Cetuximab|DRUG: Cemiplimab,Melanoma and Skin Cancer Trials Limited,,INTERVENTIONAL,2028-12-01
NCT06295159,Neoadjuvant and Adjuvant Anti-PD1 or Combinations for Locoregionally Advanced Melanoma,https://clinicaltrials.gov/study/NCT06295159,RECRUITING,Melanoma Stage III|Melanoma Stage IV|Advanced Melanoma|Melanoma,DRUG: Nivolumab|DRUG: Nivolumab + Relatlimab|DRUG: Ipilimumab,H. Lee Moffitt Cancer Center and Research Institute,Bristol-Myers Squibb,INTERVENTIONAL,2027-03
NCT00490529,Phase 1-2 of a CpG-Activated Whole Cell Vaccine Followed by Autologous Immunotransplant for MCL,https://clinicaltrials.gov/study/NCT00490529,COMPLETED,"Lymphoma, Mantle-Cell",BIOLOGICAL: CpG-MCL vaccine|BIOLOGICAL: PF-3512676|PROCEDURE: Vaccine-primed T-cells|PROCEDURE: Autologous hematopoietic stem cell transplant (HSCT)|DRUG: Rituximab|DRUG: Standard induction chemotherapy|DRUG: Cyclophosphamide|DRUG: Filgrastim,Ronald Levy,National Institutes of Health (NIH),INTERVENTIONAL,2017-12-14
NCT00397579,DT388IL3 Fusion Protein in Treating Patients With Acute Myeloid Leukemia or Myelodysplastic Syndromes,https://clinicaltrials.gov/study/NCT00397579,COMPLETED,Leukemia|Myelodysplastic Syndromes|Blastic Plasmacytoid Dendritic Cell Neoplasm,DRUG: DT388IL3,University of Texas Southwestern Medical Center,,INTERVENTIONAL,2017-07-27
NCT04969887,Combination Immunotherapy in Rare Cancers Under InvesTigation,https://clinicaltrials.gov/study/NCT04969887,ACTIVE_NOT_RECRUITING,Advanced Biliary Tract Cancer|Neuroendocrine Tumors|Female Reproductive System Neoplasm|MSI-H Solid Malignant Tumor,DRUG: Ipilimumab|DRUG: Nivolumab,Olivia Newton-John Cancer Research Institute,Bristol-Myers Squibb,INTERVENTIONAL,2028-03
NCT02923934,A Phase II Trial of Ipilimumab and Nivolumab for the Treatment of Rare Cancers,https://clinicaltrials.gov/study/NCT02923934,COMPLETED,Gastrointestinal Cancer|Neuroendocrine Tumours|Malignant Female Reproductive System Neoplasm,DRUG: Ipilimumab|DRUG: Nivolumab,Olivia Newton-John Cancer Research Institute,Bristol-Myers Squibb,INTERVENTIONAL,2023-12-12
NCT04989946,"Androgen Deprivation, With or Without pTVG-AR, and With or Without T-Cell Checkpoint Blockade, in Patients With Newly Diagnosed, High-Risk Prostate Cancer",https://clinicaltrials.gov/study/NCT04989946,RECRUITING,Prostate Cancer,DRUG: Degarelix|BIOLOGICAL: pTVG-AR|DRUG: Nivolumab|DRUG: Cemiplimab|DRUG: Fianlimab|DRUG: FLT PET/CT,"University of Wisconsin, Madison","Madison Vaccines, Inc|United States Department of Defense|Regeneron Pharmaceuticals|Bristol-Myers Squibb|National Cancer Institute (NCI)",INTERVENTIONAL,2028-12
NCT03138161,"SAINT:Trabectedin, Ipilimumab and Nivolumab as First Line Treatment for Advanced Soft Tissue Sarcoma",https://clinicaltrials.gov/study/NCT03138161,RECRUITING,Advanced Soft Tissue Sarcoma|Metastatic Soft Tissue Sarcoma,DRUG: Trabectedin|DRUG: Ipilimumab|DRUG: Nivolumab,"Sarcoma Oncology Research Center, LLC",Bristol-Myers Squibb,INTERVENTIONAL,2025-03-31
NCT03329950,A Study of CDX-1140 (CD40) as Monotherapy or in Combination in Patients With Advanced Malignancies,https://clinicaltrials.gov/study/NCT03329950,COMPLETED,Melanoma|Non-small Cell Lung Cancer|Breast Cancer|Gastric Cancer|Renal Cell Carcinoma|Ovarian Cancer|Cholangiocarcinoma|Bladder Urothelial Carcinoma|Pancreatic Adenocarcinoma|Colorectal Cancer|Esophageal Cancer|Hepatic Cancer|Head and Neck Cancer|Primary Peritoneal Cancer|Fallopian Tube Cancer|Other Solid Tumors|Diffuse Large B-cell Lymphoma (DLBCL)|Mantle Cell Lymphoma|Indolent B-cell Lymphomas|Non-Hodgkin Lymphoma|Follicular Lymphoma|Lymphoplasmacytic Lymphoma|Waldenstrom's Disease|Marginal Zone Lymphoma|Mucosa Associated Lymphoid Tissue|Small Lymphocytic Leukemia,DRUG: CDX-1140|DRUG: CDX-301|DRUG: pembrolizumab|DRUG: Chemotherapy,Celldex Therapeutics,Merck Sharp & Dohme LLC,INTERVENTIONAL,2022-09-13
